sr. no.,userid,924020839,group,group id,status
1,RoyalBot,924020839,group,group id,status
2,name_dats,7887367510,3157824396795046536,DAFFY BAND🅾️z,1257861563
3,NDAKID,7514648234,254506965605086682,DAFFY BAND🅾️z,1257861563
4,MoneyMathew1,7651279863,6960215589804481771,DAFFY BAND🅾️z,1257861563
5,mondoesix6,7075387417,5074658560134048004,DAFFY BAND🅾️z,1257861563
6,mr_gee16,7888198323,2259240668382922290,DAFFY BAND🅾️z,1257861563
7,Tin_williy,7610828765,-3919071699994053419,DAFFY BAND🅾️z,1257861563
8,Williambrooze0,7426909567,7121355477325878180,DAFFY BAND🅾️z,1257861563
9,Jackcuz1,7582995894,7292085864241368699,DAFFY BAND🅾️z,1257861563
10,Aparna_664,7342484831,-3319894974197315980,DAFFY BAND🅾️z,1257861563
11,Heakswap,6378093276,1128953202393034566,DAFFY BAND🅾️z,1257861563
12,Happybudsdm12,5642140851,-2816165492836772103,DAFFY BAND🅾️z,1257861563
13,smithspar,7809806164,1687573099078422044,DAFFY BAND🅾️z,1257861563
14,ANgel43pm,7478166276,-6145065435763814201,DAFFY BAND🅾️z,1257861563
15,gjjsjjasjaamamamaman,7828798743,9159916790368832833,DAFFY BAND🅾️z,1257861563
16,God0wner_Backup,5638414006,6471452884402020725,DAFFY BAND🅾️z,1257861563
17,sopiane,6723614527,-3737877626928449237,DAFFY BAND🅾️z,1257861563
18,stgdghagsg,7003349770,-6524203040334895923,DAFFY BAND🅾️z,1257861563
19,scooterr1,8007466770,3681177832497822522,DAFFY BAND🅾️z,1257861563
20,bigbando,6208482183,7218343416064603482,DAFFY BAND🅾️z,1257861563
21,derbiny_any,7746312205,-2819385377356624911,DAFFY BAND🅾️z,1257861563
22,Benningbell,7597594023,-3043992800162865370,DAFFY BAND🅾️z,1257861563
23,Zayonly,5946119134,-458763093349972845,DAFFY BAND🅾️z,1257861563
24,simswappz,7809711548,2394677677330162768,DAFFY BAND🅾️z,1257861563
25,Cloneccspar,8054211245,-321733015314375305,DAFFY BAND🅾️z,1257861563
26,Ryanbut23,6852152537,-2125674700996655014,DAFFY BAND🅾️z,1257861563
27,legitreas,6508178476,4416271032402278293,DAFFY BAND🅾️z,1257861563
28,mR_Trumpppp,8115843746,-8963437198281059884,DAFFY BAND🅾️z,1257861563
29,xkKmzk,7048939713,-5982910949919709146,DAFFY BAND🅾️z,1257861563
30,BonaventureOdo,6866485179,5618827382120373261,DAFFY BAND🅾️z,1257861563
31,justing_bella,5158893673,-3911298150273230172,DAFFY BAND🅾️z,1257861563
32,Manny079,7452385487,7810676169480206956,DAFFY BAND🅾️z,1257861563
33,pintoC01,7065402804,-1052444933770029288,DAFFY BAND🅾️z,1257861563
34,RauwolfiaFlamingos2015,7881329729,-277201071687398668,DAFFY BAND🅾️z,1257861563
35,tamselterg,7942740235,2196824841051537973,DAFFY BAND🅾️z,1257861563
36,don_cash11,6623705197,3159488677622294283,DAFFY BAND🅾️z,1257861563
37,triptastic1,5215898146,-8453715695413007695,DAFFY BAND🅾️z,1257861563
38,Maxfieldy,7690512593,3489276850099301195,DAFFY BAND🅾️z,1257861563
39,ElPedrons,7569078919,-159746229638379983,DAFFY BAND🅾️z,1257861563
40,telebando03,5724577202,-3900654006725008707,DAFFY BAND🅾️z,1257861563
41,furbished2048,8059679727,8218125547025338381,DAFFY BAND🅾️z,1257861563
42,hustlermusteat,6729717094,328236271789986570,DAFFY BAND🅾️z,1257861563
43,Thuerk,7557610969,6095957780976458489,DAFFY BAND🅾️z,1257861563
44,Dylanwolfe_d,5968576457,-5056303653222868369,DAFFY BAND🅾️z,1257861563
45,my_bre,7145534275,4654278380664717282,DAFFY BAND🅾️z,1257861563
46,EsterBehalf2008,7399933057,6074821698842263310,DAFFY BAND🅾️z,1257861563
47,cindyex,8050166594,-3435386334712391820,DAFFY BAND🅾️z,1257861563
48,Harris3735,7732087240,679714027068706871,DAFFY BAND🅾️z,1257861563
49,Hawkson20,5244476917,7799951992323695728,DAFFY BAND🅾️z,1257861563
50,stone1234457,6969847826,8543609701134245386,DAFFY BAND🅾️z,1257861563
51,citiboi996,5325514013,-4016344302998568579,DAFFY BAND🅾️z,1257861563
52,mrdavespam,8065195339,-1151810718285741716,DAFFY BAND🅾️z,1257861563
53,meow59349,1468387220,-7853066828220799099,DAFFY BAND🅾️z,1257861563
54,DailyLogs247,7672028212,-2326123341992157652,DAFFY BAND🅾️z,1257861563
55,f_ahad_110,67502844,565134435491164426,DAFFY BAND🅾️z,1257861563
56,markmr01,7809356329,2881100419926392026,DAFFY BAND🅾️z,1257861563
57,Fox_a25,7897779462,-2455978094321488255,DAFFY BAND🅾️z,1257861563
58,StealthRDPAdss_Bot75632,6513457334,5968886912807045556,DAFFY BAND🅾️z,1257861563
59,Abjabibibsisi,910646994,-9113852341983970783,DAFFY BAND🅾️z,1257861563
60,zazaa175,7073532559,3570193560282958351,DAFFY BAND🅾️z,1257861563
61,thenohble2,6629021641,-4765517504050727633,DAFFY BAND🅾️z,1257861563
62,ladyrooo,6693378158,1805211473868418132,DAFFY BAND🅾️z,1257861563
63,ghost45783,7936583450,-827207819185387086,DAFFY BAND🅾️z,1257861563
64,stlt12,7376081918,5113581026976784617,DAFFY BAND🅾️z,1257861563
65,reobertou,7870601315,-215688505434698013,DAFFY BAND🅾️z,1257861563
66,SPYhacker91,6627348037,9005381823705562144,DAFFY BAND🅾️z,1257861563
67,summerville45,7133380022,4973526038323176918,DAFFY BAND🅾️z,1257861563
68,tray_legit1,6210516598,8393117743802130890,DAFFY BAND🅾️z,1257861563
69,ayo_teo25,7309530959,6730529104764486413,DAFFY BAND🅾️z,1257861563
70,Veuo_13,7939420837,7030761791707329210,DAFFY BAND🅾️z,1257861563
71,maxtste,7850144264,813958845637164775,DAFFY BAND🅾️z,1257861563
72,pagdhfeg,7237237410,-347627487075988054,DAFFY BAND🅾️z,1257861563
73,brains331,1932503618,-7970527696582395772,DAFFY BAND🅾️z,1257861563
74,campbell34699,6922475201,-8704935419805701481,DAFFY BAND🅾️z,1257861563
75,dmemmy,8026185746,-8535723861961877795,DAFFY BAND🅾️z,1257861563
76,dufuemmy,7817020951,-8833553950111712944,DAFFY BAND🅾️z,1257861563
77,macma_cy,7783372050,-868063541908431948,DAFFY BAND🅾️z,1257861563
78,dhhdgdjhd,7880756355,-5211936554226348451,DAFFY BAND🅾️z,1257861563
79,Jameshint02,7704469738,7504525653362767407,DAFFY BAND🅾️z,1257861563
80,GUAPPO1111,7295063798,881374764573287429,DAFFY BAND🅾️z,1257861563
81,fundsme0,7092938427,-1164689018097334788,DAFFY BAND🅾️z,1257861563
82,paidrack,7781542330,-3372640123288464652,DAFFY BAND🅾️z,1257861563
83,Falcon00123444,7336587110,478752887780997804,DAFFY BAND🅾️z,1257861563
84,Rew24_7,8106972609,1107523164248970744,DAFFY BAND🅾️z,1257861563
85,GIZZZOY,7362986054,2483546649727248157,DAFFY BAND🅾️z,1257861563
86,Antoniocartal,7808867285,4884054037148266053,DAFFY BAND🅾️z,1257861563
87,CashFendi,6919697344,6990316841762853826,DAFFY BAND🅾️z,1257861563
88,dreamb_d,7848694422,5917479006989177917,DAFFY BAND🅾️z,1257861563
89,Nocapfrrr,7642834683,6187536352622428751,DAFFY BAND🅾️z,1257861563
90,nelychocker,7931087604,-7701981195158213184,DAFFY BAND🅾️z,1257861563
91,Ryme_stick,6412529606,-5751677513370432584,DAFFY BAND🅾️z,1257861563
